fips year sex age race deaths popn county_level_E
39155 88 0 7 0 10 11382 137.561395276257
39155 88 0 7 1 2 769 137.561395276257
39155 88 0 8 0 27 10872 137.561395276257
39155 88 0 8 1 1 644 137.561395276257
39155 88 0 9 0 40 7762 137.561395276257
39155 88 0 9 1 1 362 137.561395276257
39155 88 0 10 0 17 2902 137.561395276257
39155 88 0 10 1 2 184 137.561395276257
39155 88 1 7 0 8 12422 137.561395276257
39155 88 1 7 1 0 946 137.561395276257
39155 88 1 8 0 7 11953 137.561395276257
39155 88 1 8 1 0 686 137.561395276257
39155 88 1 9 0 18 9805 137.561395276257
39155 88 1 9 1 1 487 137.561395276257
39155 88 1 10 0 4 4949 137.561395276257
39155 88 1 10 1 0 280 137.561395276257
39049 88 0 7 0 29 35731 436.336651157096
39049 88 0 7 1 3 6354 436.336651157096
39049 88 0 8 0 96 30114 436.336651157096
39049 88 0 8 1 16 5291 436.336651157096
39049 88 0 9 0 98 19484 436.336651157096
39049 88 0 9 1 17 3210 436.336651157096
39049 88 0 10 0 60 8288 436.336651157096
39049 88 0 10 1 10 1235 436.336651157096
39049 88 1 7 0 15 38740 436.336651157096
39049 88 1 7 1 8 7665 436.336651157096
39049 88 1 8 0 41 34673 436.336651157096
39049 88 1 8 1 10 6063 436.336651157096
39049 88 1 9 0 64 26775 436.336651157096
39049 88 1 9 1 5 4233 436.336651157096
39049 88 1 10 0 42 16756 436.336651157096
39049 88 1 10 1 4 2216 436.336651157096
39069 88 0 7 0 0 1453 15.840089481994
39069 88 0 7 1 0 10 15.840089481994
39069 88 0 8 0 2 1108 15.840089481994
39069 88 0 8 1 0 6 15.840089481994
39069 88 0 9 0 4 971 15.840089481994
39069 88 0 9 1 0 2 15.840089481994
39069 88 0 10 0 1 454 15.840089481994
39069 88 0 10 1 0 0 15.840089481994
39069 88 1 7 0 0 1401 15.840089481994
39069 88 1 7 1 0 7 15.840089481994
39069 88 1 8 0 0 1313 15.840089481994
39069 88 1 8 1 0 1 15.840089481994
39069 88 1 9 0 0 1149 15.840089481994
39069 88 1 9 1 0 6 15.840089481994
39069 88 1 10 0 1 783 15.840089481994
39069 88 1 10 1 0 1 15.840089481994
39145 88 0 7 0 8 3777 48.7277300305991
39145 88 0 7 1 0 71 48.7277300305991
39145 88 0 8 0 11 3393 48.7277300305991
39145 88 0 8 1 1 93 48.7277300305991
39145 88 0 9 0 18 2709 48.7277300305991
39145 88 0 9 1 0 42 48.7277300305991
39145 88 0 10 0 9 1456 48.7277300305991
39145 88 0 10 1 0 25 48.7277300305991
39145 88 1 7 0 3 4018 48.7277300305991
39145 88 1 7 1 0 107 48.7277300305991
39145 88 1 8 0 5 4053 48.7277300305991
39145 88 1 8 1 0 120 48.7277300305991
39145 88 1 9 0 9 3648 48.7277300305991
39145 88 1 9 1 0 74 48.7277300305991
